# id	sire	dam	sex	generation
7641	5784	5345	1	F6
7647	5784	5345	2	F6
7656	5867	5627	2	F6
7658	5867	5627	1	F6
7661	5298	5941	1	F6
7664	5298	5941	2	F6
7713	5832	6051	1	F6
7727	5646	6053	2	F6
7735	5646	6053	1	F6
7766	6058	5657	1	F6
7777	5350	6028	1	F6
7779	5350	6028	1	F6
7782	5350	6028	2	F6
7784	5783	5958	2	F6
7788	5783	5958	2	F6
7789	5783	5958	1	F6
7794	5503	5814	2	F6
7802	5676	6024	2	F6
7804	5676	6024	1	F6
7810	5676	6024	2	F6
7874	6158	5835	2	F6
7875	6158	5835	2	F6
7877	6158	5835	1	F6
7884	6233	6239	1	F6
7905	5883	6176	1	F6
7908	6166	5822	1	F6
7910	6166	5822	2	F6
7926	6231	6236	2	F6
7933	5741	6475	1	F6
7938	5741	6475	1	F6
7940	5741	6475	2	F6
7946	6327	5829	2	F6
7949	6327	5829	2	F6
7954	6327	5829	1	F6
7968	5823	6261	2	F6
7972	5823	6261	1	F6
7980	6130	6347	1	F6
7981	6282	5792	2	F6
7985	6282	5792	1	F6
7997	6346	6126	2	F6
8007	6096	6169	2	F6
8010	6096	6169	1	F6
8013	5939	6201	1	F6
8017	5939	6201	2	F6
8018	5939	6201	2	F6
8023	6110	6303	2	F6
8025	6341	5761	1	F6
8028	6341	5761	2	F6
8031	6341	5761	1	F6
8033	5436	5707	1	F6
8038	5436	5707	2	F6
8044	6238	6418	1	F6
8051	6238	6418	2	F6
8055	6414	6122	1	F6
8059	6414	6122	2	F6
8074	5689	6333	1	F6
8095	6435	5788	1	F6
8104	6020	6458	2	F6
8109	6020	6458	1	F6
8113	5589	6481	1	F6
8118	5589	6481	2	F6
8119	5589	6481	2	F6
8120	5844	6441	1	F6
8123	6291	6387	2	F6
8124	6291	6387	1	F6
8128	6424	5817	2	F6
8133	6424	5817	1	F6
8138	6265	5880	2	F6
8139	6265	5880	1	F6
8142	6265	5880	2	F6
8154	6378	6117	2	F6
8156	6378	6117	1	F6
8158	6378	6117	2	F6
8159	6378	6117	1	F6
8166	6062	6394	1	F6
8171	6062	6394	2	F6
8184	6406	5690	1	F6
8188	6406	5690	2	F6
8198	6405	6070	1	F6
8199	6405	6070	2	F6
8201	6405	6070	2	F6
8209	6495	5747	1	F6
8211	6495	5747	2	F6
8213	6495	5747	2	F6
8217	4919	4571	1	F6
8222	5961	6293	2	F6
8224	5961	6293	1	F6
8226	5571	5088	2	F6
8228	5571	5088	1	F6
8232	5571	5088	2	F6
8251	6388	6094	2	F6
8252	6388	6094	1	F6
8255	6388	6094	1	F6
8331	5776	6433	2	F6
8335	5776	6433	1	F6
8336	5776	6433	2	F6
8345	6344	6550	2	F6
8360	5644	6046	1	F6
8364	5644	6046	2	F6
8370	6554	6403	1	F6
8372	6554	6403	2	F6
8380	6292	6606	2	F6
8381	6292	6606	2	F6
8383	6292	6606	1	F6
8411	6462	6505	1	F6
8430	6605	6507	1	F6
8447	6398	6349	2	F6
8470	5432	5637	1	F6
8474	5432	5637	2	F6
8611	6740	6957	2	F7
8664	6945	7082	2	F7
8665	6945	7082	1	F7
8688	7216	6892	2	F7
8692	7216	6892	1	F7
8693	7216	6892	1	F7
8695	7408	6959	1	F7
8701	7408	6959	2	F7
8708	7505	7493	2	F7
8717	7014	7444	1	F7
8721	7014	7444	2	F7
8722	7014	7444	2	F7
8728	6954	7463	2	F7
8734	6954	7463	1	F7
8740	7488	7502	2	F7
8745	7488	7502	2	F7
8747	7488	7502	1	F7
